Date,Ticker,Open,High,Low,Close,Volume,sentiment,return,ma_5,ma_10,volatility_5,sentiment_lag1,sentiment_ma3,target,pred,strategy_return,buy_hold_return
2025-12-29,AAPL,272.1843267483383,273.8512128461511,271.8449608988494,273.2523498535156,23715200,0.0,0.001316908213532919,272.35399169921874,272.5655975341797,0.0062437337209315024,0.0,0.0,0,0,0.0,-0.0024840480713893553
2025-12-30,AAPL,272.304089543875,273.5717234473003,271.77507361210075,272.5735778808594,22139600,0.0,-0.0024840480713893553,272.77520751953125,272.46278991699216,0.0036287030994252836,0.0,0.0,0,0,0.0,-0.00446757506501283
2025-12-31,AAPL,272.553621806917,273.17246717497864,271.24605357156486,271.3558349609375,27293600,0.0,-0.00446757506501283,272.675390625,272.18829956054685,0.003801144318800371,0.0,0.0,0,0,0.0,-0.003126592761770741
2026-01-02,AAPL,271.75509761912826,277.32473598417806,268.5011336129586,270.5074157714844,37838100,0.0,-0.003126592761770741,272.1164306640625,272.10545349121094,0.0021698818853491527,0.0,0.0,0,0,0.0,-0.013837114156417418
2026-01-05,AAPL,270.1381104139889,271.0064921177503,265.6464557026853,266.7643737792969,45647200,0.0,-0.013837114156417418,270.8907104492188,271.6133666992188,0.005633993822320369,0.0,0.0,0,0,0.0,-0.018334270451824564
2026-01-06,AAPL,266.504853430471,267.0538212812338,261.6338984265986,261.8734436035156,52352100,0.0,-0.018334270451824564,268.61492919921875,270.4844604492188,0.00718524106534531,0.0,0.0,0,1,-0.007737497507594893,-0.007737497507594893
2026-01-07,AAPL,262.71190159101934,263.1909919246956,259.32817380451803,259.8471984863281,48309800,0.0,-0.007737497507594893,266.0696533203125,269.42243041992185,0.006440243150450046,0.0,0.0,0,0,0.0,-0.004955093401707855
2026-01-08,AAPL,256.5433578451618,258.80916773471864,255.22581364132836,258.55963134765625,50419300,0.0,-0.004955093401707855,263.5104125976562,268.0929016113281,0.006348024752269198,0.0,0.0,1,0,0.0,0.0012738888084979916
2026-01-09,AAPL,258.5995368285105,259.7274461787287,255.74485516422808,258.8890075683594,39997000,0.0,0.0012738888084979916,261.1867309570313,266.6515808105469,0.007642589226074406,0.0,0.0,1,1,0.0033929113461488303,0.0033929113461488303
2026-01-12,AAPL,258.6794199598783,260.8154357257053,256.32378048041085,259.76739501953125,45263800,0.0,0.0033929113461488303,259.78733520507814,265.3390228271484,0.008583871009598402,0.0,0.0,1,0,0.0,0.003073874731586601
